SurveyYear,Survey,SurveyQuarter,StaPlanned,StaValComp,DifSta,SurveyCov,DisruptorCat,Disruptor,DurationIfTemp,LocationIf Spat,Comment,NStaAff,SurveyCovAff,Reference,,,,,
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ICES (1999),,,,,
1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ICES (2000),,,,,
2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ICES (2001),,,,,
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ICES (2002),,,,,
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ICES (2003),,,,,
2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ICES (2004),,,,,
2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ICES (2005),,,,,
2005,NS-IBTS UK,Q3,75,73,2,97,3,gear,NA,2 stations,NA,2,3,ICES (2006),,,,,
2005,NS-IBTS DEN,Q3,46,43,3,93,3,gear,NA,NA,gear lost,NA,NA,ICES (2006),,,,,
2005,IE-IGFS,Q4,168,140,28,83,3,weather,NA,VIIg,NA,NA,NA,ICES (2006),,,,,
2005,IE-IGFS,Q4,,,,,3,gear,NA,NA,NA,NA,NA,ICES (2006),,,,,
2005,Cefas Western Groundfish Survey,Q4,72,45,27,63,3,weather,NA,NA,NA,NA,NA,ICES (2006),,,,,
2005,Cefas Western Groundfish Survey,Q4,,,,,3,gear,NA,NA,NA,NA,NA,ICES (2006),,,,,
2005,SP-PORC,Q3,80,76,4,95,3,weather,NA,NA,NA,NA,NA,ICES (2006),,,,,
2006,NS-IBTS GER,Q1,77,70,7,91,2,seabed obstacle,NA,NA,"due to rough fishing grounds around Shetlands, and due shallow waters of Isle of Sylt",NA,NA,ICES (2006),,,,,
