"Year","StationId","Station.Sampled","Primary","Av_ShtLt","Av_ShtLn","Doy","Date","Lat","Lon","DAvWh"
2012,1,1,"VIIb_Deep",53.728125,-10.870375,348,2012-12-13,53.7330694980695,-10.8821237113402,3.88352465950185
2013,1,1,"VIIb_Deep",53.728125,-10.870375,329,2013-11-25,53.7330694980695,-10.8821237113402,2.2609130548787
2014,1,1,"VIIb_Deep",53.728125,-10.870375,320,2014-11-16,53.7330694980695,-10.8821237113402,2.76461016575376
2015,1,0,"VIIb_Deep",53.728125,-10.870375,348,2015-12-14,53.7330694980695,-10.8821237113402,3.03533928955359
2016,1,0,"VIIb_Deep",53.728125,-10.870375,329,2016-11-24,53.7330694980695,-10.8821237113402,1.79430865956308
2017,1,0,"VIIb_Deep",53.728125,-10.870375,320,2017-11-16,53.7330694980695,-10.8821237113402,NA
2018,1,0,"VIIb_Deep",53.728125,-10.870375,348,2018-12-14,53.7330694980695,-10.8821237113402,NA
2019,1,0,"VIIb_Deep",53.728125,-10.870375,329,2019-11-25,53.7330694980695,-10.8821237113402,2.60745847177604
2020,1,0,"VIIb_Deep",53.728125,-10.870375,320,2020-11-15,53.7330694980695,-10.8821237113402,NA
2021,1,0,"VIIb_Deep",53.728125,-10.870375,348,2021-12-14,53.7330694980695,-10.8821237113402,NA
2022,1,0,"VIIb_Deep",53.728125,-10.870375,329,2022-11-25,53.7330694980695,-10.8821237113402,5.70852385995187
2012,3,1,"VIa_Medium",54.7850769230769,-9.62461538461539,270,2012-09-26,54.7790154440154,-9.63607560137457,4.39311688845182
2013,3,1,"VIa_Medium",54.7850769230769,-9.62461538461539,277,2013-10-04,54.7790154440154,-9.63607560137457,0.959400505642194
2014,3,0,"VIa_Medium",54.7850769230769,-9.62461538461539,307,2014-11-03,54.7790154440154,-9.63607560137457,NA
2015,3,0,"VIa_Medium",54.7850769230769,-9.62461538461539,310,2015-11-06,54.7790154440154,-9.63607560137457,NA
2016,3,0,"VIa_Medium",54.7850769230769,-9.62461538461539,311,2016-11-06,54.7790154440154,-9.63607560137457,NA
2017,3,0,"VIa_Medium",54.7850769230769,-9.62461538461539,308,2017-11-04,54.7790154440154,-9.63607560137457,NA
2018,3,1,"VIa_Medium",54.7850769230769,-9.62461538461539,303,2018-10-30,54.7790154440154,-9.63607560137457,2.78696813622885
2019,3,1,"VIa_Medium",54.7850769230769,-9.62461538461539,314,2019-11-10,54.7790154440154,-9.63607560137457,5.12876714875603
2020,3,0,"VIa_Medium",54.7850769230769,-9.62461538461539,307,2020-11-02,54.7790154440154,-9.63607560137457,4.33700127323026
2021,3,1,"VIa_Medium",54.7850769230769,-9.62461538461539,312,2021-11-08,54.7790154440154,-9.63607560137457,2.91663117166649
2022,3,1,"VIa_Medium",54.7850769230769,-9.62461538461539,307,2022-11-03,54.7790154440154,-9.63607560137457,4.0407186815525
2012,5,1,"VIa_Medium",55.112125,-9.539,271,2012-09-27,55.1027606177606,-9.53639175257732,1.63767305589115
2013,5,1,"VIa_Medium",55.112125,-9.539,269,2013-09-26,55.1027606177606,-9.53639175257732,1.40796596690362
2014,5,0,"VIa_Medium",55.112125,-9.539,284,2014-10-11,55.1027606177606,-9.53639175257732,NA
2015,5,0,"VIa_Medium",55.112125,-9.539,306,2015-11-02,55.1027606177606,-9.53639175257732,NA
2016,5,0,"VIa_Medium",55.112125,-9.539,271,2016-09-27,55.1027606177606,-9.53639175257732,3.59754648046933
2017,5,1,"VIa_Medium",55.112125,-9.539,284,2017-10-11,55.1027606177606,-9.53639175257732,4.10857222589562
2018,5,0,"VIa_Medium",55.112125,-9.539,284,2018-10-11,55.1027606177606,-9.53639175257732,NA
2019,5,1,"VIa_Medium",55.112125,-9.539,306,2019-11-02,55.1027606177606,-9.53639175257732,3.40080003529769
2020,5,0,"VIa_Medium",55.112125,-9.539,271,2020-09-27,55.1027606177606,-9.53639175257732,NA
2021,5,0,"VIa_Medium",55.112125,-9.539,269,2021-09-26,55.1027606177606,-9.53639175257732,NA
2022,5,0,"VIa_Medium",55.112125,-9.539,284,2022-10-11,55.1027606177606,-9.53639175257732,NA
2012,9,1,"VIa_Medium",55.5919,-9.1657,272,2012-09-28,55.6008301158301,-9.16257731958763,NA
2013,9,1,"VIa_Medium",55.5919,-9.1657,270,2013-09-27,55.6008301158301,-9.16257731958763,1.02069390135387
2014,9,1,"VIa_Medium",55.5919,-9.1657,270,2014-09-27,55.6008301158301,-9.16257731958763,3.92170001122406
2015,9,1,"VIa_Medium",55.5919,-9.1657,264,2015-09-21,55.6008301158301,-9.16257731958763,2.64146591203476
2016,9,0,"VIa_Medium",55.5919,-9.1657,342,2016-12-07,55.6008301158301,-9.16257731958763,3.99433413508941
